12,32,44,43,,131,1,5,,,5,5,5,5
15,26,38,35,,114,3,4,,,3,3,3,3
8,27,41,28,,104,1,5,,,4,5,4,4
9,35,39,44,,127,2,5,,,4,4,4,4
9,33,35,45,,122,4,5,,,4,4,4,4
13,39,30,27,,109,3,4,,,3,3,5,5
15,23,39,36,,113,1,5,,,5,5,4,5
12,25,37,48,,122,2,4,,,5,5,5,5
13,19,37,51,,120,4,3,,,5,5,5,5
13,28,34,46,,121,2,4,,,4,3,5,5
7,24,29,33,,93,2,3,,,5,3,4,5
8,25,50,32,,115,2,4,,,4,4,4,5
8,25,33,38,,104,1,5,,,5,4,5,5
13,27,37,29,,106,2,5,,,5,4,4,5
15,33,31,30,,109,4,1,,,5,5,5,5
21,37,38,30,,126,3,4,,,4,4,4,4
11,26,38,43,,118,2,4,,,4,4,4,5
10,23,36,47,,116,3,5,,,4,5,5,5
10,21,35,41,,107,3,3,,,4,4,4,4
,,,,,,1,4,,,5,5,5,5
,,,,,114.5789474,1,5,,,5,5,4,5
,,,,,9.529578453,3,4,,,4,5,4,5
3,16,12,19,,50,3,5,,,4,5,4,5
2,11,29,21,,63,3,5,,,4,5,4,4
1,8,15,13,,37,1,4,,,4,4,5,5
1,7,17,15,,40,3,5,,,4,4,5,5
2,7,11,24,,44,1,4,,,4,4,4,4
3,11,9,29,,52,3,3,,,3,5,5,5
2,13,24,11,,50,3,5,,,5,4,5,5
2,12,21,14,,49,2,5,,,5,5,5,5
1,9,15,17,,42,2,5,,,5,4,5,5
1,8,16,9,,34,1,5,,,4,5,5,4
1,9,16,15,,41,4,4,,,4,4,5,4
3,7,23,23,,56,4,5,,,4,4,3,4
3,5,17,21,,46,3,4,,,4,4,4,5
1,5,15,20,,41,4,4,,,3,3,3,4
1,8,16,20,,45,4,4,,,4,4,4,4
3,3,19,18,,43,3,3,,,4,4,4,4
1,4,22,11,,38,2,4,,,4,5,4,4
1,6,10,15,,32,1,4,,,4,4,5,5
1,6,10,17,,34,2,5,,,3,4,4,4
,,,,,,2,3,,,4,4,4,4
,,,,,44.05263158,1,4,,,3,4,4,4
,,,,,7.954549252,2,4,,,5,4,5,5
,,,,,,2,4,,,4,5,5,5
,,,,,,2,3,,,3,5,5,5
,,,,,,3,5,,,5,5,4,5
,,,,,,3,4,,,4,4,4,4
,,,,,,3,4,,,5,5,4,5
,,,,,,1,5,,,5,5,4,4
,,,,,,3,4,,,5,5,5,5
,,,,,,2,5,,,5,4,5,5
,,,,,,3,3,,,4,4,4,4
,,,,,,3,4,,,5,4,4,5
,,,,,,4,4,,,4,4,5,3
,,,,,,4,4,,,4,5,5,4
,,,,,,3,3,,,4,4,4,4
,,,,,,3,4,,,4,4,4,4
,,,,,,2,4,,,4,4,4,4
,,,,,,3,3,,,3,5,4,4
,,,,,,2,4,,,4,4,5,4
,,,,,,3,3,,,4,4,3,4
,,,,,,3,4,,,4,4,5,4
,,,,,,3,5,,,4,5,4,4
,,,,,,3,5,,,4,4,5,5
,,,,,,3,3,,,3,5,5,5
,,,,,,2,4,,,4,3,4,4
,,,,,,2,4,,,4,4,4,4
,,,,,,1,4,,,4,3,3,5
,,,,,,2,4,,,4,4,4,4
,,,,,,1,5,,,5,4,4,4
,,,,,,4,5,,,5,4,4,5
,,,,,,4,4,,,4,4,3,4
,,,,,,3,4,,,4,5,4,4
,,,,,,4,4,,,4,3,4,1
,,,,,,3,3,,,4,4,4,4
,,,,,,,,,,,,,
,,,,,,2.513157895,4.118421053,,,4.171052632,4.25,4.302631579,4.421052632
,,,,,,0.972877807,0.782595771,,,0.619422481,0.635085296,0.611440634,0.678491619
,,,,,,,,,,,,,
,,,,,,,,,,71.032603,72.29829408,73.8238189,74.85122025
,,,,,,,,,,24.77689926,25.40341184,24.45762537,27.13966476
,,,,,,,,,,83.42105263,85,86.05263158,88.42105263
